"Produto","Proteina","Carboidratos","Gramas","Fibras","Calorias","Cluster"
"Strips, from raw",0.017241379310344827,0.0211864406779661,0.049442234278904235,0.002127659574468085,0.020161290322580645,"cluster_0"
"Cauliflower",0.01293103448275862,0.025423728813559324,0.12068318031795851,0.00425531914893617,0.03024193548387097,"cluster_0"
"Celery",0.004310344827586207,0.01694915254237288,0.10032862430680015,0.00425531914893617,0.020161290322580645,"cluster_0"
"Stalk raw",0.004310344827586207,0.00423728813559322,0.03926495627332505,0.001276595744680851,0.005040322580645161,"cluster_0"
"Chard steamed",0.008620689655172414,0.029661016949152543,0.15121501433469606,0.005957446808510638,0.03024193548387097,"cluster_0"
"Collards",0.021551724137931036,0.03389830508474576,0.15121501433469606,0.00851063829787234,0.05141129032258064,"cluster_0"
"Corn",0.01293103448275862,0.08898305084745763,0.10032862430680015,0.0034042553191489366,0.09274193548387097,"cluster_0"
"cooked or canned",0.021551724137931036,0.17372881355932204,0.202101404362592,0.006808510638297873,0.17137096774193547,"cluster_1"
"Cucumbers",0.017241379310344827,0.00423728813559322,0.049442234278904235,0.0008510638297872341,0.006048387096774193,"cluster_0"
"Dandelion greens",0.021551724137931036,0.06779661016949153,0.18174684835143362,0.013617021276595746,0.08064516129032258,"cluster_0"
"Eggplant",0.008620689655172414,0.038135593220338986,0.18174684835143362,0.00425531914893617,0.03024193548387097,"cluster_0"
"Endive",0.004310344827586207,0.00847457627118644,0.05656632888280966,0.002553191489361702,0.010080645161290322,"cluster_0"
"Kale",0.017241379310344827,0.03389830508474576,0.11050590231237932,0.0038297872340425534,0.04536290322580645,"cluster_0"
"Kohlrabi",0.008620689655172414,0.038135593220338986,0.1410377363291169,0.006382978723404256,0.04032258064516129,"cluster_0"
"Lambs quarters, steamed",0.021551724137931036,0.029661016949152543,0.15121501433469606,0.013617021276595746,0.04838709677419355,"cluster_0"
"Lentils",0.06465517241379311,0.16101694915254236,0.202101404362592,0.010212765957446808,0.21370967741935484,"cluster_1"
"Lettuce",0.004310344827586207,0.00847457627118644,0.10032862430680015,0.002127659574468085,0.014112903225806451,"cluster_0"
"Iceberg",0.017241379310344827,0.012711864406779662,0.10032862430680015,0.002127659574468085,0.013104838709677418,"cluster_0"
"Mushrooms canned",0.008620689655172414,0.01694915254237288,0.12068318031795851,0.0017021276595744683,0.012096774193548387,"cluster_0"
"Mustard greens",0.01293103448275862,0.025423728813559324,0.1410377363291169,0.005106382978723404,0.03024193548387097,"cluster_0"
"Okra",0.004310344827586207,0.029661016949152543,0.10032862430680015,0.00425531914893617,0.03225806451612903,"cluster_0"
"Onions",0.008620689655172414,0.07627118644067797,0.21227868236817116,0.006808510638297873,0.08064516129032258,"cluster_0"
"Raw, green",0.017241379310344827,0.0211864406779661,0.049442234278904235,0.00425531914893617,0.02217741935483871,"cluster_0"
